Customer ID,Gender,Region,Age,Product Name,Category,Unit Price,Quantity,Total Price,Shipping Fee,Shipping Status,Order Date
CUST0268,Male,North,,Monitor,Electronics,300,5,1500,13.31,Returned,08-12-2023
CUST0046,Male,West,22,Headphones,Accessories,100,2,200,6.93,In Transit,09-04-2023
CUST0169,Female,South,54,Monitor,Electronics,300,1,300,11.31,Returned,28-08-2023
CUST0002,Male,North,23,Headphones,Accessories,100,5,500,12.22,Delivered,18-01-2023
CUST0173,Female,South,,Laptop,Electronics,1500,3,4500,5.4,Delivered,19-01-2023
CUST0147,Male,North,64,Smartwatch,Wearables,200,2,400,11.26,In Transit,11-01-2023
CUST0262,Male,East,27,Smartwatch,Wearables,200,1,200,18.38,In Transit,23-10-2023
CUST0159,Female,South,18,Keyboard,Accessories,50,2,100,15.08,Returned,15-06-2023
CUST0046,Female,East,22,Mouse,Accessories,30,1,30,8.22,Returned,25-02-2023
CUST0023,Male,West,29,Headphones,Accessories,100,3,300,10.7,Delivered,23-04-2023
CUST0201,Female,East,49,Headphones,Accessories,100,2,200,9.8,Returned,01-06-2023
CUST0283,Female,West,67,Mouse,Accessories,30,3,90,5.65,In Transit,13-09-2023
CUST0199,Female,West,41,Keyboard,Accessories,50,5,250,7.13,Delivered,17-02-2023
CUST0039,Male,South,60,Keyboard,Accessories,50,4,200,10.91,Returned,10-12-2023
CUST0276,Male,West,66,Mouse,Accessories,30,1,30,11.36,In Transit,29-06-2023
CUST0143,Female,,36,Smartwatch,Wearables,200,3,600,7.89,Delivered,14-07-2023
CUST0139,Male,North,57,Laptop,Electronics,1500,4,6000,10.92,In Transit,13-05-2023
CUST0210,Male,South,30,Smartphone,Electronics,800,2,1600,11.44,Returned,09-06-2023
CUST0293,Female,East,32,Smartwatch,Wearables,200,5,1000,7.16,In Transit,21-06-2023
CUST0049,Female,West,59,Monitor,Electronics,300,4,1200,17.37,In Transit,26-11-2023
CUST0283,Female,East,67,Smartphone,Electronics,800,5,4000,12.17,Delivered,08-11-2023
CUST0196,Female,South,37,Mouse,Accessories,30,3,90,19.41,Returned,27-12-2023
CUST0050,Male,North,,Mouse,Accessories,30,3,90,6.97,Returned,06-06-2023
CUST0007,Female,East,52,Headphones,Accessories,100,2,200,12,In Transit,28-10-2023
CUST0242,Male,North,58,Smartphone,Electronics,800,4,3200,18.11,,30-12-2023
CUST0042,Female,South,57,Keyboard,Accessories,50,1,50,9.6,Delivered,04-12-2023
CUST0264,Male,East,59,Smartphone,Electronics,1658.432327,2,1600,11.59,In Transit,01-02-2023
CUST0053,Female,North,25,Smartwatch,Wearables,200,1,200,14.9,Delivered,14-08-2023
CUST0154,Female,East,31,Smartphone,Electronics,800,1,800,19.22,In Transit,07-12-2023
